"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Congo, Dem. Rep.","COD","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","1041.428","1059.763","839.743","817.741","938.752","1180.774","909.416","949.753","740.734","887.414","788.405","876.413","850.744","828.742","832.409","671.061","876.413","887.414","843.41","748.068","843.41","861.745","825.075","806.74","825.075","821.408","839.743","850.744","931.418","843.41","766.403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Congo, Rep.","COG","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Colombia","COL","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","6684.941","7198.321","7711.701","8221.414","7711.701","7198.321","6424.584","7964.724","7964.724","8522.108","5812.195","6505.258","6695.942","7774.04","8316.756","8786.132","9226.172","9420.523","9904.567","11265.024","10307.937","10670.97","10997.333","12148.771","12005.758","12218.444","12049.762","12475.134","12559.475","12977.513","13894.263","12423.796","13677.91","14216.959","13622.905","14147.286","12522.805","12299.118","11697.73","9691.881","10234.597","10329.939","9273.843","10414.28","7286.329","10241.931","9358.184","8060.066","10777.313","11811.407","13483.559","13795.254","11551.05","13131.527","14623.996","","","","","",
"Comoros","COM","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Cabo Verde","CPV","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Costa Rica","CRI","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117.344","201.685","381.368","308.028","128.345","146.68","297.027","293.36","253.023","231.021","227.354","231.021","231.021","231.021","","","","","",
"Caribbean small states","CSS","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","113.677","425.372","124.678","187.017","238.355","242.022","168.682","245.689","154.014","183.35","172.349","139.346","139.346","121.011","124.678","150.347","128.345","234.688","242.022","201.685","253.023","253.023","344.698","238.355","267.691","275.025","264.024","282.359","304.361","443.707","550.05","374.034","172.349","220.02","234.688","216.353","69.673","73.34","88.008","91.675","84.341","66.006","69.673","99.009","102.676","77.007","25.669","73.34","91.675","88.008","77.007","11.001","14.668","36.67","3.667","","","","","",
"Curacao","CUW","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","",
"Cayman Islands","CYM","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Cyprus","CYP","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","3.667","0","3.667","3.667","0","3.667","7.334","3.667","0","0","0","0","0","0","0","0","0","0","139.346","198.018","146.68","399.703","242.022","198.018","286.026","40.337","69.673","80.674","73.34","51.338","44.004","51.338","69.673","80.674","128.345","143.013","139.346","139.346","154.014","139.346","143.013","132.012","106.343","55.005","69.673","33.003","0","0","11.001","","","","","",
"Czech Republic","CZE","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101938.933","97149.831","90604.236","88609.388","87164.59","89163.105","82954.874","73083.31","86471.527","84223.656","80475.982","81964.784","75485.195","79020.183","81704.427","82668.848","76361.608","69364.972","71524.835","69900.354","64850.895","62793.708","61400.248","","","","","",
"Germany","DEU","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","445782.522","405548.198","381195.651","370755.702","354525.56","352281.356","336109.886","327903.14","312281.72","328060.821","334852.105","326117.311","328387.184","330268.355","315967.055","329509.286","334448.735","311654.663","279557.412","306465.858","301618.084","309597.476","316190.742","308387.366","","","","","",
"Djibouti","DJI","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Dominica","DMA","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Denmark","DNK","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","14888.02","14469.982","15903.779","16131.133","14921.023","13732.915","14070.279","12577.81","12343.122","11507.046","9365.518","5742.522","5331.818","9075.825","8188.411","10839.652","12247.78","13740.249","12882.171","16303.482","22035.003","18103.979","22082.674","19981.483","21382.277","28026.881","27033.124","27491.499","25988.029","20513.198","23010.425","31572.87","25691.002","27663.848","29552.353","23795.163","34579.81","24477.225","22009.334","17799.618","15207.049","15973.452","16120.132","21503.288","16435.494","14198.624","20971.573","17550.262","14895.354","15232.718","15298.724","12277.116","9361.851","11910.416","9050.156","","","","","",
"Dominican Republic","DOM","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","3.667","3.667","0","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","0","0","0","0","0","0","0","0","73.34","616.056","256.69","696.73","25.669","150.347","370.367","319.029","275.025","293.36","341.031","370.367","718.732","619.723","245.689","539.049","619.723","2805.255","2064.521","1265.115","1870.17","1932.509","2112.192","2064.521","1851.835","2101.191","2335.879","2214.868","2805.255","","","","","",
